Product,Order ID,Item Processing cost,Weight,Revenue,Profit,Warehouse,Inventory,Customer,City,State,Order Date,Cost per unit,Profit margin,Average order size,Inventory turnover
Maybelline,17921,2.361236571,960.2543869,9819.379899,157.5729555,California,758.6118538,Ulta Beauty,Phoenix, Arizona,4/9/2022,0.00245897,1.604713914,960.2543869,1.265804617
Covergirl,20467,3.960553135,388.996126,1480.959184,354.2965243,Florida,386.3069499,Sephora,Miami, Florida,1/30/2022,0.010181472,23.92344962,388.996126,1.006961242
Covergirl,90828,3.37337906,830.0363157,4172.738481,518.2474315,California,718.6585758,Nordstrom,New York City, New York,5/22/2020,0.004064134,12.41983973,830.0363157,1.154980047
Tarte,54054,2.391827164,247.7788711,1693.348812,305.4757587,Chicago,906.1825287,Amazon,Miami, Florida,2/8/2020,0.009653072,18.03974211,247.7788711,0.273431525
Loreal,16374,4.334742767,490.9006732,6874.947565,647.0678626,New York,900.1084546,MAC Cosmetics,Dallas, Texas,9/5/2023,0.008830183,9.411967967,595.999323,0.545379471
NARS,74495,2.575327868,154.9466857,1451.701738,174.511839,Texas,525.7241236,Nordstrom,San Diego, California,4/10/2022,0.016620735,12.02119102,154.9466857,0.294730028
Maybelline,60019,4.203305834,568.8100103,5473.75714,964.9651982,Florida,749.9338769,Walmart,Austin, Texas,7/21/2021,0.007389648,17.62893701,568.8100103,0.758480218
Tarte,57919,2.51669668,204.5886986,4981.34779,684.2417629,Chicago,179.5941062,Walgreens,San Diego, California,8/8/2021,0.01230125,13.7360769,204.5886986,1.139172676
Clinique,66136,3.651372935,100.6286773,1005.617597,213.2805104,California,805.5574242,Walmart,Chicago, Illinois,7/5/2021,0.03628561,21.20890794,100.6286773,0.124918068
Maybelline,88427,1.857178495,898.5023781,6170.441668,354.0348714,Florida,843.1209342,Walmart,Houston, Texas,10/22/2022,0.002066971,5.737593684,898.5023781,1.06568624
Tarte,73544,1.186189701,551.248717,1340.159932,623.9363148,Texas,733.2423994,Ulta Beauty,New York City, New York,12/27/2020,0.002151823,46.55685489,551.248717,0.751796019
Estee Lauder,47492,4.033612733,638.9986048,5782.428634,197.5259158,Chicago,606.6732566,MAC Cosmetics,Phoenix, Arizona,3/30/2022,0.006312397,3.41596807,1581.673518,1.053282962
Maybelline,95787,2.48457372,776.4986011,1426.883988,621.9823037,California,886.2781188,Nordstrom,San Diego, California,8/8/2022,0.003199714,43.59025042,776.4986011,0.876134234
Urban Decay,86062,4.567060571,464.1880485,5927.880204,376.4158067,Chicago,448.4690183,CVS Pharmacy,New York City, New York,4/22/2023,0.009838816,6.349922633,464.1880485,1.035050426
Estee Lauder,39354,1.31989007,794.8862606,4221.767579,761.5009748,Florida,392.8208459,Walmart,Phoenix, Arizona,7/4/2023,0.001660477,18.03749166,794.8862606,2.023533804
NARS,71425,1.178750456,839.7853142,4092.295167,456.543365,New York,431.8745013,Walgreens,Dallas, Texas,8/16/2023,0.001403633,11.156169,839.7853142,1.94451238
Loreal,29096,1.050599699,539.7933295,5379.93161,734.1853264,Florida,381.2481239,Ulta Beauty,Seattle, Washington,7/3/2021,0.0019463,13.64674088,864.1495879,1.415858323
Covergirl,46647,4.051639373,618.1883976,5680.750741,642.8370627,California,991.8849445,Amazon,San Diego, California,4/23/2022,0.006554053,11.31605825,618.1883976,0.623246074
Covergirl,44533,2.418204545,358.1283385,9437.73925,917.0514046,Chicago,546.8065022,MAC Cosmetics,San Diego, California,2/1/2021,0.006752341,9.716854644,358.1283385,0.654945281
Clinique,86122,2.875897412,562.0122191,6874.568059,371.9365587,Florida,546.8592322,Sephora,Philadelphia, Pennsylvania,7/22/2022,0.005117144,5.410326227,562.0122191,1.027709118
Revlon,90900,1.289777235,424.8245188,7111.765212,378.3876644,Chicago,595.1279979,Target,Phoenix, Arizona,1/9/2021,0.003036024,5.320587128,424.8245188,0.713837226
Tarte,24655,4.12831243,878.1646992,6492.604193,247.1225797,Florida,968.5719307,Walgreens,New York City, New York,2/18/2023,0.004701069,3.806216618,878.1646992,0.906659249
Loreal,55683,1.105769427,310.0501315,4606.198023,445.4986597,California,752.2931737,Ulta Beauty,San Francisco, California,12/13/2022,0.003566421,9.671721829,958.3573865,0.41214003
Clinique,62815,4.297426456,905.8303302,9646.243621,440.3916677,Chicago,361.2872869,Nordstrom,Houston, Texas,5/25/2022,0.004744185,4.56542137,905.8303302,2.507230016
NARS,99510,1.906328763,877.191971,2987.08436,503.3303269,New York,702.9132349,CVS Pharmacy,San Francisco, California,3/12/2023,0.002173217,16.85022136,1700.217856,1.247937764
Estee Lauder,53352,4.636014154,950.5511965,1553.082724,745.7608147,Texas,636.7550572,Ulta Beauty,Miami, Florida,8/30/2020,0.004877185,48.01809993,950.5511965,1.4928051
